# Data for the a4a model 
# Full age range
 0 5 
# Full year range
 2007 2022 
# Number of surveys
 1 
# Survey min ages
 0 
# Survey max ages
 4 
# Survey time as a fraction into the year (one for each survey)
 0.6 
# fbar range
 1 3 
# Last age group considered plus group 0=no 1=yes
 1 
# Number of observations
 176 
# Observation data frame 
# fleet	year	age	observation	weights
2	2017	4	-3.83104612607161	1
2	2018	0	4.26584330950244	1
2	2018	1	2.30879892630003	1
2	2018	2	-0.585012591348403	1
2	2018	3	-3.28973748075683	1
2	2018	4	-4.41761881134238	1
2	2019	0	3.61069464920459	1
2	2019	1	1.86277579867977	1
2	2019	2	0.161615022443165	1
2	2019	3	-2.78801960994555	1
2	2019	4	-3.28719971237737	1
2	2020	0	4.09923398849179	1
2	2020	1	2.10241527138185	1
2	2020	2	-0.276815654760448	1
2	2020	3	-2.72929005550646	1
2	2020	4	-4.63911344989226	1
2	2021	0	4.47251051808042	1
2	2021	1	2.05681682743308	1
2	2021	2	-0.969358241906628	1
2	2021	3	-2.83226049292269	1
2	2021	4	-3.87401101730366	1
2	2022	0	4.1812627635933	1
